datetime,trading_date,type,break_direction,level,break_bar_close,break_magnitude_pips,break_magnitude_atr,trend_duration,session,hour_utc,sma_slope,atr_pips,max_continuation_pips,max_pullback_pips,followed_through_1atr,followed_through_2atr,positive_rr
2021-01-11 18:45:00,2021-01-10,bearish_choch,bearish,1.21656,1.21654,0.2,0.0287,1,Off_Hours,18,-1.4220000000020327,6.96,16.8,3.7,True,True,True
2021-01-11 19:45:00,2021-01-10,bearish_bos,bearish,1.21632,1.21622,1.0,0.191,2,Off_Hours,19,-2.9879999999993245,5.24,21.8,2.8,True,True,True
2021-01-11 21:45:00,2021-01-10,bearish_bos,bearish,1.21527,1.21496,3.1,0.6104,10,Off_Hours,21,-6.151999999999269,5.08,9.2,12.3,True,False,False
2021-01-11 23:30:00,2021-01-11,bullish_choch,bullish,1.21572,1.21606,3.4,0.7212,17,Off_Hours,23,-3.290000000000237,4.71,1.3,22.0,False,False,False
2021-01-12 01:15:00,2021-01-11,bearish_choch,bearish,1.21511,1.21412,9.9,1.7769,1,Tokyo,1,-1.9360000000023803,5.57,2.6,27.9,False,False,False
2021-01-12 04:15:00,2021-01-11,bearish_choch,bearish,1.21424,1.21419,0.5,0.0893,13,Tokyo,4,-0.6520000000009851,5.6,3.3,37.0,False,False,False
2021-01-12 05:45:00,2021-01-11,bullish_choch,bullish,1.21499,1.21531,3.2,0.7887,3,Tokyo,5,-2.7279999999985094,4.06,25.8,12.5,True,True,True
2021-01-12 06:45:00,2021-01-11,bullish_choch,bullish,1.21561,1.21608,4.7,1.063,7,Tokyo,6,-3.6099999999983368,4.42,18.1,20.2,True,True,False
2021-01-12 09:15:00,2021-01-11,bullish_bos,bullish,1.2167,1.21782,11.2,1.1521,2,London,9,-0.09000000000147779,9.72,0.6,41.1,False,False,False
2021-01-12 10:45:00,2021-01-11,bearish_bos,bearish,1.21502,1.21452,5.0,0.4115,5,London,10,0.8520000000000749,12.15,8.1,23.0,False,False,False
2021-01-12 13:00:00,2021-01-11,bullish_bos,bullish,1.21598,1.21609,1.1,0.121,1,New_York,13,-0.4399999999993298,9.09,35.0,23.8,True,True,True
2021-01-12 14:15:00,2021-01-11,bearish_choch,bearish,1.21493,1.21465,2.8,0.2804,6,New_York,14,-0.22200000000083264,9.99,2.8,60.2,False,False,False
2021-01-12 15:30:00,2021-01-11,bullish_choch,bullish,1.21587,1.21631,4.4,0.3941,2,New_York,15,0.8420000000008976,11.16,45.7,12.6,True,True,True
2021-01-12 16:45:00,2021-01-11,bullish_bos,bullish,1.21664,1.2168,1.6,0.145,3,New_York,16,2.49600000000072,11.04,41.7,5.6,True,True,True
2021-01-12 22:30:00,2021-01-12,bearish_choch,bearish,1.22024,1.22023,0.1,0.0198,26,Off_Hours,22,8.655999999997999,5.06,1.0,17.8,False,False,False
2021-01-13 00:00:00,2021-01-12,bullish_bos,bullish,1.22097,1.22113,1.6,0.3721,32,Tokyo,0,9.896000000000349,4.3,8.8,6.5,True,True,True
2021-01-13 01:30:00,2021-01-12,bullish_bos,bullish,1.22159,1.22162,0.3,0.0596,38,Tokyo,1,11.464000000001029,5.04,6.5,8.9,True,False,False
2021-01-13 03:15:00,2021-01-12,bullish_bos,bullish,1.22191,1.22193,0.2,0.0412,45,Tokyo,3,12.859999999998983,4.86,3.4,37.1,False,False,False
